Region,Date,Total Sales Amount,Total Units Sold,Market Trend Index
West,2023-08-31,166366.34,4754,61.34
North,2023-08-25,244981.06,1449,42.81
South,2023-05-30,315151.19,4030,53.7
East,2023-02-09,260704.0,4914,56.69
West,2023-05-16,491116.43,4442,9.64
North,2023-09-13,381010.44,3230,37.94
South,2023-09-06,359693.48,1894,94.35
East,2023-11-25,304645.35,1928,65.94
West,2023-02-16,283911.99,2110,68.12
North,2023-02-06,238516.79,1553,69.67
South,2023-10-02,220929.44,1665,53.59
East,2023-03-01,140465.74,1245,24.1
West,2023-09-07,290914.73,4145,74.04
North,2023-02-28,317758.22,4124,17.58
South,2023-11-26,224317.73,4085,67.0
East,2023-04-14,322829.63,1102,12.82
West,2023-04-04,235168.81,4964,10.25
North,2023-05-15,321890.09,3812,41.58
South,2023-12-25,340597.75,1447,65.32
East,2023-04-08,441694.36,1126,57.69
West,2023-10-06,341660.89,2463,54.27
North,2023-12-04,494900.44,4409,29.56
South,2023-04-15,448577.2,2382,0.75
East,2023-01-06,198959.64,4152,62.54
West,2023-02-21,453886.71,4310,52.06
North,2023-01-17,428298.86,3376,33.87
South,2023-05-22,163850.7,1514,28.88
East,2023-06-26,343423.58,3041,20.09
West,2023-06-19,134086.13,4896,59.11
North,2023-05-29,129329.15,2409,25.27
South,2023-02-25,275946.19,2419,69.16
East,2023-01-30,155868.25,2094,39.87
West,2023-01-31,386943.91,4523,63.93
North,2023-03-20,301876.19,2993,49.16
South,2023-07-17,426609.34,1444,47.78
East,2023-10-14,121101.66,1738,61.7
West,2023-07-30,337161.6,3090,69.89
North,2023-01-12,409481.58,1701,49.14
South,2023-09-24,444437.36,2450,64.79
East,2023-07-24,314488.3,4465,11.62
West,2023-11-27,491001.12,3642,74.89
North,2023-08-27,221094.49,1633,96.27
South,2023-09-23,154050.76,4798,68.47
East,2023-12-13,355236.81,2234,23.27
West,2023-06-25,276567.94,2655,35.64
North,2023-09-05,403689.23,3192,42.92
South,2023-10-31,449143.56,3399,3.42
East,2023-12-30,120667.63,1845,61.98
West,2023-08-09,399452.97,3209,3.68
North,2023-05-05,135052.78,1540,2.53
South,2023-09-16,467197.4,1124,6.89
East,2023-08-01,361007.77,2367,91.73
West,2023-03-23,445266.9,2301,92.67
North,2023-03-19,319789.02,2581,64.19
South,2023-11-22,113906.02,1714,95.11
East,2023-06-21,450715.16,3040,21.06
West,2023-09-16,239233.05,2688,67.14
North,2023-06-02,301264.4,4097,35.75
South,2023-04-11,255847.4,2673,76.52
East,2023-09-24,415046.65,2920,4.03
West,2023-02-15,453980.37,2296,2.01
North,2023-06-08,479498.32,4897,43.61
South,2023-08-22,374249.53,3365,73.73
East,2023-04-13,101035.08,3338,26.6
West,2023-01-17,340005.55,4260,92.15
North,2023-08-02,186497.65,3085,92.46
South,2023-07-30,222308.04,1040,59.0
East,2023-05-19,414277.43,3535,59.22
West,2023-11-10,436863.03,2442,63.91
North,2023-06-01,441996.07,4797,81.24
South,2023-05-31,339851.0,2596,19.82
East,2023-12-31,186230.67,1341,72.6
West,2023-01-22,476359.84,3685,76.42
North,2023-04-18,313935.69,1695,81.24
South,2023-01-09,324640.33,3842,54.69
East,2023-08-19,442641.6,1098,33.8
West,2023-09-12,190191.32,4836,6.21
North,2023-07-24,208690.99,2601,79.57
South,2023-08-19,182150.85,3207,91.69
East,2023-07-24,238312.33,3759,72.23
West,2023-12-08,204533.91,3553,41.6
North,2023-01-22,211756.35,1684,54.95
South,2023-06-27,414163.58,1133,3.72
East,2023-07-25,209514.78,1087,63.08
West,2023-06-12,473058.5,2900,25.15
North,2023-01-21,369253.36,1578,7.82
South,2023-03-12,259471.24,3036,71.21
East,2023-02-08,393805.18,3907,84.85
West,2023-06-14,174380.43,1221,93.97
North,2023-06-27,325851.65,4467,67.21
South,2023-09-01,256990.1,3385,43.07
East,2023-01-05,289658.02,1449,42.03
West,2023-03-26,195508.37,4916,31.0
North,2023-04-01,167899.03,2246,85.69
South,2023-06-26,264364.35,1864,17.55
East,2023-08-05,455458.47,4778,32.46
West,2023-07-14,493080.09,3295,81.32
North,2023-05-20,276880.16,1861,0.71
South,2023-02-16,425115.49,1080,38.84
East,2023-07-10,421298.43,2857,51.7
West,2023-01-23,296252.9,4291,10.21
North,2023-03-20,102473.61,2321,80.02
South,2023-09-26,170908.02,1944,25.62
East,2023-07-15,462592.42,3261,33.4
West,2023-01-24,122651.11,1392,45.3
North,2023-01-25,115675.47,3903,38.6
South,2023-01-07,124216.41,3170,85.61
East,2023-04-03,470124.09,4072,72.83
West,2023-06-21,355501.72,1234,58.61
North,2023-10-15,380554.29,1831,64.57
South,2023-11-27,118228.87,2235,40.28
East,2023-04-28,377655.59,1945,51.93
West,2023-05-28,374913.55,1499,14.2
North,2023-05-10,164963.57,2691,11.43
South,2023-07-06,286250.37,4058,11.78
East,2023-10-29,294677.42,2089,25.62
West,2023-07-08,494275.92,3733,32.66
North,2023-08-26,361874.68,2091,31.83
South,2023-07-13,157643.43,1582,58.87
East,2023-04-12,417119.08,4169,4.83
West,2023-08-15,323813.72,2916,82.79
North,2023-03-14,314527.09,3391,58.12
South,2023-01-02,200817.34,3928,11.98
East,2023-09-10,206630.46,2074,13.41
West,2023-02-22,143514.36,3275,64.3
North,2023-09-16,168037.63,4309,68.85
South,2023-04-29,439414.31,1500,64.42
East,2023-03-18,240386.58,3327,76.41
West,2023-06-30,270490.96,3949,71.01
North,2023-09-28,145906.18,3454,56.7
South,2023-03-01,348878.43,3354,45.49
East,2023-10-13,283651.05,2522,71.86
West,2023-12-27,398799.37,2569,4.78
North,2023-02-07,477611.38,1883,93.75
South,2023-02-25,358261.11,4717,32.68
East,2023-09-14,266028.02,1274,79.08
West,2023-05-18,387506.07,3952,75.54
North,2023-04-07,143903.59,2973,6.12
South,2023-04-27,112139.99,3188,6.0
East,2023-11-20,325145.75,3853,38.58
West,2023-07-25,316252.12,3437,26.31
North,2023-01-14,260704.26,2253,54.19
South,2023-04-01,257459.6,1112,75.32
East,2023-02-07,307449.48,2076,29.62
West,2023-05-09,303003.61,1031,12.81
North,2023-04-09,366367.76,1757,86.48
South,2023-02-28,358780.87,2173,49.65
East,2023-12-01,118495.76,3278,82.13
West,2023-06-08,208499.23,3943,11.31
North,2023-12-31,231954.86,2135,8.92
South,2023-05-14,140812.05,1497,49.64
East,2023-08-02,492019.97,2629,40.21
West,2023-08-02,329347.7,3508,3.6
North,2023-09-29,261753.21,1402,25.76
South,2023-06-03,300639.72,1803,70.06
East,2023-06-22,329433.71,1310,84.15
West,2023-06-24,127628.76,4488,17.13
North,2023-12-07,125685.77,4872,3.69
South,2023-11-04,286710.31,4640,52.26
East,2023-08-23,354033.83,3477,14.7
West,2023-05-15,108214.52,2768,90.82
North,2023-10-29,115204.14,1038,7.92
South,2023-12-11,447698.23,1087,57.75
East,2023-07-13,452735.52,4485,8.97
West,2023-05-25,250774.75,3718,84.32
North,2023-06-12,182395.45,4471,0.94
South,2023-07-02,110123.54,4402,13.49
East,2023-04-16,107579.36,4921,59.72
West,2023-10-02,449763.5,2966,59.6
North,2023-08-20,350543.94,1342,96.63
South,2023-01-08,156243.57,2683,28.33
East,2023-10-14,307322.27,1064,18.8
West,2023-06-02,351666.88,2277,58.11
North,2023-04-26,413992.56,2649,73.05
South,2023-10-10,490621.85,2171,16.16
East,2023-08-30,478368.84,2763,77.12
West,2023-04-11,490141.61,4369,40.47
North,2023-06-22,336226.5,4487,44.2
South,2023-03-31,141271.27,2856,38.62
East,2023-07-03,114686.07,3123,16.26
West,2023-05-01,401380.75,1017,19.22
North,2023-06-01,321167.4,4959,71.16
South,2023-03-01,306245.01,4907,43.14
East,2023-01-27,157698.76,1168,71.74
West,2023-10-02,183471.24,3834,86.96
North,2023-07-01,480096.1,1391,12.72
South,2023-01-25,466231.24,2132,85.71
East,2023-06-30,102613.15,3853,45.15
West,2023-01-07,178306.52,3255,91.62
North,2023-01-03,357437.99,2905,8.68
South,2023-08-10,335963.54,1454,52.01
East,2023-10-08,186385.03,2196,55.04
West,2023-08-05,483115.97,4308,27.65
North,2023-11-13,403012.76,1659,23.54
South,2023-10-12,352027.11,1050,98.26
East,2023-01-20,220104.77,1456,89.19
West,2023-05-25,131837.3,1493,85.79
North,2023-07-05,467234.0,2438,98.73
South,2023-03-03,483874.04,2199,6.89
East,2023-06-19,418690.36,1367,29.06
West,2023-04-02,113384.68,2622,84.89
North,2023-09-23,285697.86,3756,18.37
South,2023-01-13,442498.41,2987,77.62
East,2023-02-09,210752.98,4556,25.25
West,2023-07-11,198487.21,1593,57.68
North,2023-07-02,370160.74,2591,43.95
South,2023-01-18,381787.68,2377,68.78
East,2023-05-22,490211.38,1168,72.39
West,2023-05-11,457466.87,1997,26.16
North,2023-05-21,363377.13,2381,80.0
South,2023-12-30,452881.83,3675,66.78
East,2023-06-14,253291.01,4347,58.3
West,2023-02-17,191159.44,3569,48.0
North,2023-04-19,289886.76,1453,21.18
South,2023-04-08,153335.65,4815,76.4
East,2023-08-03,467711.18,2762,47.53
West,2023-09-22,325089.77,3992,81.48
North,2023-01-01,125473.0,4431,27.72
South,2023-03-20,472946.52,2744,73.22
East,2023-11-05,339066.29,1192,54.99
West,2023-09-27,356346.74,1780,25.66
North,2023-08-20,228750.71,1376,28.46
South,2023-07-25,483810.45,2941,38.57
East,2023-12-10,237121.12,3617,20.15
West,2023-03-16,300585.73,2155,41.7
North,2023-04-20,264829.56,1651,92.44
South,2023-07-19,110923.05,2746,97.31
East,2023-02-20,292736.28,4658,0.47
West,2023-10-22,103283.72,4821,49.22
North,2023-02-01,219031.04,3256,21.15
South,2023-05-26,386760.36,4046,65.79
East,2023-08-29,366730.91,1090,49.44
West,2023-03-10,475053.43,2778,75.87
North,2023-08-22,244241.06,2564,12.81
South,2023-09-01,170964.5,2989,59.1
East,2023-05-08,129006.14,1601,32.78
West,2023-07-05,360030.11,4278,2.3
North,2023-01-13,449224.26,2298,55.25
South,2023-01-06,394323.73,1174,29.14
East,2023-10-20,358086.01,1967,75.96
West,2023-07-02,245257.85,4122,6.37
North,2024-01-01,279628.15,2940,21.58
South,2023-02-14,270831.18,3049,33.64
East,2023-09-25,164629.92,2215,22.32
West,2023-03-05,115933.73,3025,28.47
North,2023-07-01,335342.81,3201,42.37
South,2023-03-11,248414.07,4610,13.42
East,2023-01-31,209994.75,3442,84.02
West,2023-10-04,138097.96,3090,24.25
North,2023-08-21,475303.36,1691,23.93
South,2023-02-12,219516.72,4204,4.61
East,2023-08-07,176554.82,1567,15.11
West,2023-12-30,386913.76,4942,32.72
North,2023-07-08,362962.38,3572,9.98
South,2023-03-25,193656.05,2109,5.36
East,2023-04-13,498881.77,4035,60.07
West,2023-05-20,405160.74,2870,89.96
North,2023-12-13,332751.68,3141,41.58
South,2023-01-04,357942.13,3377,77.68
East,2023-12-07,380402.46,1203,46.95
West,2023-08-15,104071.2,1190,9.56
North,2023-09-27,493048.4,1246,85.95
South,2023-04-05,406067.95,1788,68.4
East,2023-12-27,110771.92,2589,43.41
West,2023-11-29,350056.66,3700,79.57
North,2023-11-09,231907.94,2798,74.11
South,2023-07-15,435947.82,3421,40.1
East,2023-04-28,290466.84,3063,2.54
West,2023-08-31,279364.42,2222,37.75
North,2023-08-26,374444.8,2357,75.73
South,2023-07-30,460776.66,2957,96.03
East,2023-07-19,477073.76,1050,51.02
West,2023-06-18,398765.99,1844,8.16
North,2023-07-08,320952.29,3062,76.53
South,2023-11-09,497755.66,3016,31.4
East,2023-07-23,440812.52,1868,34.95
West,2023-09-05,175913.04,1606,52.0
North,2023-05-19,418096.36,4947,69.52
South,2023-07-21,174238.81,1322,18.91
East,2023-12-14,292100.71,2398,69.43
West,2023-11-21,233319.64,4422,67.02
North,2023-01-07,441942.71,1135,30.02
South,2023-04-18,196224.08,4237,77.68
East,2023-07-10,133376.38,3490,68.28
West,2023-10-17,488873.59,3759,41.45
North,2023-11-03,145184.34,1959,94.59
South,2023-07-23,438907.09,3296,87.11
East,2023-05-17,144900.44,3600,23.75
West,2023-09-20,152816.89,3872,82.37
North,2023-11-12,165277.85,4624,3.21
South,2023-02-05,258334.68,2867,41.9
East,2023-12-13,259778.08,2729,13.16
West,2023-07-04,149113.88,2009,7.78
North,2023-09-26,393269.53,2190,78.06
South,2023-04-21,477153.6,2024,99.16
East,2023-09-01,175593.65,1950,44.53
West,2023-03-17,335762.45,3445,58.81
North,2023-01-27,177657.37,4075,77.26
South,2023-12-30,339142.3,3207,39.96
East,2023-11-15,173983.79,3550,81.57
West,2023-12-20,410968.2,2324,91.6
North,2023-07-11,315782.64,3626,58.82
South,2023-11-24,204751.97,3819,26.88
East,2023-10-06,196263.86,1141,80.72
West,2023-12-08,458385.1,1238,71.68
North,2023-12-30,458522.41,1944,1.29
South,2023-08-27,323852.72,3703,19.29
East,2023-08-16,264245.36,4258,83.21
West,2023-04-05,159652.5,1525,91.4
North,2023-10-23,447352.78,4872,89.61
South,2023-01-29,189626.97,3320,32.03
East,2023-12-07,460343.26,4416,70.93
West,2023-03-10,378705.47,3283,24.87
North,2023-08-21,495454.97,2772,52.25
South,2023-02-17,192834.26,1521,39.32
East,2023-01-20,279946.71,1014,98.66
West,2023-09-23,142557.32,3764,65.07
North,2023-09-23,379353.12,1906,36.43
South,2023-09-14,353467.08,1384,53.25
East,2023-01-03,467654.12,4784,12.9
West,2023-04-15,155448.18,4289,53.37
North,2023-10-23,252692.71,2349,27.56
South,2023-02-14,489461.55,4325,48.57
East,2023-06-19,380144.62,4712,26.58
West,2023-08-27,368981.02,3490,19.72
North,2023-11-05,278042.2,1754,56.5
South,2023-06-29,243080.28,2354,54.38
East,2023-10-09,352376.82,4820,62.64
West,2023-08-31,282746.92,3667,76.34
North,2023-06-22,149995.63,1520,71.94
South,2023-12-13,412230.37,2888,53.3
East,2023-05-27,466463.77,4583,34.04
West,2023-05-15,489673.76,1951,0.97
North,2023-10-17,283406.33,1946,5.23
South,2023-05-24,252690.04,3859,74.27
East,2023-05-20,298992.01,3889,4.41
West,2023-08-19,293967.11,2027,83.51
North,2023-10-17,236574.37,3893,16.91
South,2023-05-28,105425.42,2068,59.24
East,2023-09-17,273347.63,3086,3.24
West,2023-02-12,462675.11,1946,35.07
North,2023-04-30,165464.91,2364,12.08
South,2023-06-20,301173.39,1241,63.89
East,2023-09-02,230991.96,1114,84.4
West,2023-08-04,230807.15,3480,69.64
North,2023-11-06,441977.22,1050,53.27
South,2023-08-23,383822.2,1625,48.61
East,2023-03-07,452420.29,1288,4.81
West,2023-01-03,474687.7,2716,29.56
North,2023-12-09,368668.9,2298,82.05
South,2023-08-26,117351.45,1122,87.09
East,2023-04-11,221375.23,3672,92.84
West,2023-10-30,443125.86,3221,25.96
North,2024-01-01,372321.97,1150,92.66
South,2023-10-04,177989.86,2812,48.99
East,2023-01-09,295461.66,2771,8.92
West,2023-04-24,364660.9,1225,31.76
North,2023-07-05,495279.19,4309,3.76
South,2023-06-02,157230.34,1534,50.04
East,2023-10-09,170076.14,2852,6.26
West,2023-12-23,385044.12,2828,49.03
North,2023-04-17,337003.05,2844,56.83
South,2023-03-20,215720.73,4683,33.55
East,2023-08-29,414504.78,4291,74.87
West,2023-12-18,235750.64,3909,90.27
North,2023-10-07,146515.83,4923,23.72
South,2023-12-02,126006.6,4545,95.9
East,2023-09-04,335974.37,1392,69.92
West,2023-03-06,425692.86,3853,64.85
North,2023-07-18,460077.24,2969,72.31
South,2023-12-31,249456.19,2982,17.89
East,2023-01-12,281566.89,2899,23.79
West,2023-05-29,429806.4,4320,62.28
North,2023-03-01,458438.81,4799,34.97
South,2023-01-15,293270.13,4668,45.87
East,2023-09-13,166808.73,3726,64.81
West,2023-09-04,286137.52,1296,94.7
North,2023-11-13,162624.1,1294,25.15
South,2023-08-14,193927.4,1345,35.4
East,2023-07-11,431799.29,2605,34.53
