Employee ID,Date,Total Sales Amount,Total Units Sold,Region
E025,2023-03-21,9655.26,772,South
E026,2023-06-03,7804.21,900,East
E027,2023-01-21,2697.18,955,East
E028,2023-03-25,8757.85,705,South
E029,2023-11-04,3793.8,431,East
E030,2023-03-26,8601.73,195,North
E031,2023-10-31,4141.41,943,West
E032,2023-09-17,6709.62,376,West
E033,2023-06-28,8954.42,966,North
E034,2023-10-22,4214.72,204,West
E035,2023-11-08,4008.16,718,East
E036,2023-01-06,5413.06,897,South
E037,2023-08-30,5267.09,669,East
E038,2023-11-28,5717.6,887,West
E039,2023-05-31,1072.35,671,East
E040,2023-08-25,7774.33,466,East
E041,2023-07-09,7043.44,590,South
E042,2023-11-18,7262.94,948,South
E043,2023-03-22,2591.75,451,East
E044,2023-12-05,6950.69,830,North
E045,2023-10-23,1148.83,544,North
E046,2023-12-11,4002.34,231,South
E047,2023-06-20,6447.04,842,West
E048,2023-08-03,1093.34,416,West
E049,2023-10-25,5659.79,508,South
E050,2023-03-10,6707.96,671,North
E051,2023-04-19,3993.27,888,South
E052,2023-06-30,9781.45,852,South
E053,2023-08-10,9231.96,198,East
E054,2023-10-11,6613.29,696,South
E055,2023-05-04,2800.63,155,South
E056,2023-11-30,7298.16,313,South
E057,2023-05-20,4689.55,205,South
E058,2023-02-21,1151.69,656,West
E059,2023-07-16,8830.65,741,West
E060,2023-11-25,4507.45,177,North
E061,2023-03-12,4024.75,248,North
E062,2023-01-24,5116.0,554,North
E063,2023-01-11,4314.54,857,South
E064,2023-09-04,9510.43,799,East
E065,2023-12-07,2155.09,365,West
E066,2023-10-14,8535.86,311,East
E067,2023-05-29,1275.66,351,East
E068,2023-06-17,6248.29,832,North
E069,2023-12-10,4346.19,483,South
E070,2023-11-04,8970.07,743,North
E071,2023-05-13,5028.21,406,North
E072,2023-05-03,5677.0,300,North
E073,2023-03-04,4260.7,805,North
E074,2023-01-08,7536.64,270,North
E075,2023-01-23,6313.52,733,West
E076,2023-02-26,1451.76,174,South
E077,2023-11-05,8691.36,433,West
E078,2023-07-24,3209.77,713,South
E079,2023-10-18,2775.96,443,West
E080,2023-08-09,7705.87,655,South
E081,2023-07-13,9706.77,964,West
E082,2023-05-23,1698.6,224,West
E083,2023-12-05,3564.04,486,East
E084,2023-08-23,7284.32,979,South
E085,2023-09-15,9667.09,168,West
E086,2023-07-12,3252.89,782,South
E087,2023-12-31,5622.86,210,West
E088,2023-12-21,7929.39,670,South
E089,2023-06-17,3216.31,321,South
E090,2023-09-08,1781.6,362,East
E091,2023-04-23,3865.74,234,South
E092,2023-01-25,6263.1,485,West
E093,2023-11-22,4761.65,635,South
E094,2023-10-23,4905.78,833,North
E095,2023-11-13,2850.07,525,East
E096,2023-12-13,8382.52,244,North
E097,2023-09-05,4738.75,546,West
E098,2023-05-05,2173.48,978,West
E099,2023-09-08,2677.95,608,East
E100,2023-07-26,1045.0,680,East
E001,2023-02-11,6836.01,486,North
E002,2023-09-18,3799.95,802,South
E003,2023-10-05,1294.69,966,North
E004,2023-05-26,2625.33,568,North
E005,2023-05-07,9133.94,268,East
E006,2023-06-09,9807.29,828,North
E007,2023-01-06,1465.64,648,South
E008,2023-12-05,5362.43,488,South
E009,2023-04-21,1926.95,243,North
E010,2023-11-20,3831.4,990,West
E011,2023-10-03,1701.4,718,West
E012,2023-08-29,1996.85,767,South
E013,2023-03-29,1214.07,514,West
E014,2023-01-31,5649.38,164,East
E015,2023-05-12,5332.41,203,North
E016,2023-08-02,7149.15,154,West
E017,2023-01-23,8504.08,957,West
E018,2023-01-10,7838.99,329,North
E019,2023-09-28,1346.79,939,North
E020,2023-12-30,2846.8,683,East
E021,2023-06-27,4754.51,602,North
E022,2023-10-12,7507.78,298,North
E023,2023-06-14,7137.5,876,East
E024,2023-11-23,5516.29,166,West
E025,2023-04-14,8825.73,760,North
E026,2023-04-03,8076.51,994,West
E027,2023-02-05,3685.14,830,South
E028,2023-05-23,4804.71,537,East
E029,2023-04-24,2557.03,687,North
E030,2023-06-27,8389.96,769,West
E031,2023-07-15,9437.78,737,North
E032,2023-08-01,7678.57,218,South
E033,2023-11-06,9958.52,446,East
E034,2023-02-13,3020.68,449,South
E035,2023-02-13,4472.16,654,South
E036,2023-11-25,7976.34,658,North
E037,2023-08-26,4568.95,366,East
E038,2023-07-09,6239.08,947,West
E039,2023-02-19,2586.5,650,West
E040,2023-08-24,5576.18,877,South
E041,2023-07-06,3101.19,298,East
E042,2023-02-17,8483.84,299,North
E043,2023-03-29,9081.86,671,South
E044,2023-11-21,9280.58,273,North
E045,2023-02-01,2944.93,980,East
E046,2023-05-12,1625.49,218,South
E047,2023-02-06,6284.15,357,East
E048,2023-01-14,6061.36,380,East
E049,2023-01-31,8773.52,374,West
E050,2023-05-10,2607.83,882,South
E051,2023-09-08,6314.48,813,South
E052,2023-06-20,3789.91,564,South
E053,2023-05-25,7690.1,779,North
E054,2023-08-11,5992.22,206,North
E055,2023-05-25,2666.69,933,South
E056,2023-11-28,4632.0,269,South
E057,2023-07-16,3772.37,994,South
E058,2023-09-19,8670.94,499,South
E059,2023-03-05,1902.31,906,South
E060,2023-01-19,8629.08,724,East
E061,2023-03-16,3463.71,750,South
E062,2023-06-19,5803.13,871,North
E063,2023-01-26,2817.55,361,North
E064,2023-12-29,9681.37,598,North
E065,2023-03-22,6805.43,952,South
E066,2023-08-23,1095.68,701,North
E067,2023-12-01,7698.38,553,North
E068,2023-01-19,7536.51,315,West
E069,2023-01-13,5561.08,281,East
E070,2023-07-21,3343.38,110,West
E071,2023-12-04,7423.89,888,East
E072,2023-10-22,4583.62,481,North
E073,2023-05-31,2334.28,542,East
E074,2023-02-22,3274.56,569,West
E075,2023-08-01,6013.91,458,North
E076,2023-01-13,4446.72,821,North
E077,2023-11-21,1822.59,549,West
E078,2023-08-30,8813.19,348,North
E079,2023-10-20,9905.04,136,South
E080,2023-06-10,7408.24,181,South
E081,2023-12-02,6429.31,605,South
E082,2023-05-18,9544.72,473,South
E083,2023-12-12,1334.71,304,North
E084,2023-06-22,1691.61,699,West
E085,2023-10-22,4015.7,959,East
E086,2023-11-04,2567.86,302,South
E087,2023-01-06,1503.0,564,West
E088,2023-03-19,5112.89,773,North
E089,2023-10-03,9520.53,812,West
E090,2023-02-09,6854.73,728,West
E091,2023-11-14,6508.66,377,South
E092,2023-06-06,5464.45,382,North
E093,2023-04-24,6211.47,968,East
E094,2023-11-26,5094.15,929,South
E095,2023-09-10,4519.84,668,West
E096,2023-01-17,2313.08,318,East
E097,2023-07-01,3838.97,411,South
E098,2023-06-02,4715.49,793,East
E099,2023-12-03,1176.5,939,North
E100,2023-09-06,1430.78,163,North
E001,2023-07-09,9609.23,778,West
E002,2023-12-22,2668.58,456,North
E003,2023-05-10,2034.7,538,North
E004,2023-03-04,7862.11,540,South
E005,2023-06-02,9983.76,928,North
E006,2023-10-15,3925.72,738,South
E007,2023-09-12,5447.94,130,West
E008,2023-07-23,4620.22,295,West
E009,2023-06-03,5133.25,672,West
E010,2023-02-12,7501.43,652,West
E011,2023-04-04,3947.69,681,North
E012,2023-03-17,9303.59,858,North
E013,2023-11-03,9746.91,415,West
E014,2023-10-11,2752.31,749,South
E015,2023-09-09,7312.55,514,West
E016,2023-12-18,4478.14,192,South
E017,2023-01-03,1660.24,594,North
E018,2023-10-17,7666.53,405,West
E019,2023-12-14,3203.16,904,North
E020,2023-04-07,5793.89,182,East
E021,2023-10-04,2430.62,562,West
E022,2023-11-22,4584.54,940,West
E023,2023-08-06,5002.83,653,North
E024,2023-09-19,7668.13,409,West
E025,2023-11-12,7702.55,128,West
E026,2023-12-26,3009.08,981,East
E027,2023-10-27,1937.06,711,West
E028,2023-07-23,3439.21,828,West
E029,2023-06-12,4344.41,113,East
E030,2023-12-30,2779.74,996,North
E031,2023-08-19,1748.45,240,East
E032,2023-03-07,6982.59,926,South
E033,2023-03-04,9605.98,160,East
E034,2023-03-01,5618.82,870,North
E035,2023-03-24,8118.32,672,East
E036,2023-09-28,4993.51,326,South
E037,2023-03-24,6181.35,474,North
E038,2023-06-26,4547.21,189,North
E039,2023-04-26,1701.27,944,West
E040,2023-10-31,3275.61,126,East
E041,2023-09-22,5517.17,111,West
E042,2023-04-17,8807.08,684,South
E043,2023-10-13,9003.7,238,West
E044,2023-06-24,7600.8,460,East
E045,2023-05-25,7598.36,906,North
E046,2023-01-02,2408.63,487,West
E047,2023-09-15,9332.84,820,North
E048,2023-08-10,6536.45,977,South
E049,2023-07-08,1977.62,775,North
E050,2023-11-01,8557.71,348,South
E051,2023-12-16,4469.51,758,North
E052,2023-11-06,1387.72,765,West
E053,2023-08-29,1371.95,890,West
E054,2023-09-26,8098.35,365,West
E055,2023-08-17,2062.33,554,South
E056,2023-03-13,2375.65,416,South
E057,2023-03-19,7611.73,666,West
E058,2023-08-26,4972.83,657,East
E059,2023-04-25,8243.36,935,North
E060,2023-02-14,6948.51,173,East
E061,2023-11-10,5584.6,272,South
E062,2023-05-29,1158.29,847,East
E063,2023-01-03,9402.36,576,South
E064,2023-06-03,4200.29,503,West
E065,2023-09-22,2282.9,613,North
E066,2023-04-15,1856.99,535,South
E067,2023-04-18,1452.26,277,North
E068,2023-05-24,1578.49,485,North
E069,2023-02-02,9265.86,726,North
E070,2023-06-25,2124.05,597,North
E071,2023-03-11,3156.19,965,East
E072,2023-11-29,9657.98,818,North
E073,2023-08-25,7542.51,493,East
E074,2023-05-28,4582.81,153,West
E075,2023-07-14,3926.87,423,South
E076,2023-10-28,5278.85,948,West
E077,2023-11-19,1248.78,184,North
E078,2023-03-20,6976.38,113,East
E079,2023-05-08,2779.07,931,East
E080,2023-10-02,6324.62,468,North
E081,2023-06-18,7654.16,414,West
E082,2023-11-16,3908.64,678,North
E083,2023-10-18,9210.8,773,North
E084,2023-12-21,9336.06,810,East
E085,2023-02-11,6229.15,187,South
E086,2023-11-05,4331.25,156,North
E087,2023-06-04,8223.78,548,North
E088,2023-09-15,2549.59,587,West
E089,2023-11-03,6292.03,487,South
E090,2023-03-04,8785.0,336,South
E091,2023-07-06,4583.58,944,South
E092,2023-02-21,2816.53,733,East
E093,2023-02-04,1339.17,165,North
E094,2023-07-05,7010.36,449,East
E095,2023-11-23,6186.48,888,East
E096,2023-03-28,1528.64,644,West
E097,2023-11-21,8866.86,545,East
E098,2023-08-22,2562.44,104,South
E099,2023-10-18,9055.8,136,North
E100,2023-11-09,9412.98,161,West
E001,2023-04-04,9210.81,666,North
E002,2023-05-02,7719.76,757,East
E003,2023-03-12,3964.73,613,South
E004,2023-01-18,4343.85,504,East
E005,2023-11-09,8703.71,993,North
E006,2023-06-09,5238.69,611,South
E007,2023-08-26,3521.31,108,West
E008,2023-08-15,1449.72,369,South
E009,2023-06-03,8646.7,966,North
E010,2023-05-15,4381.29,381,North
E011,2023-09-08,4742.24,450,South
E012,2023-09-16,1274.17,609,North
E013,2023-07-29,1550.14,768,South
E014,2023-05-30,2800.35,768,West
E015,2023-05-23,2940.12,160,South
E016,2023-11-22,2764.76,520,West
E017,2023-03-22,6920.53,960,South
E018,2023-02-02,2902.86,588,North
E019,2023-05-23,5090.09,628,North
E020,2023-04-23,6901.71,909,East
E021,2023-04-21,3320.8,981,East
E022,2023-02-03,4487.67,751,South
E023,2023-10-02,8225.07,627,North
E024,2023-05-05,3174.09,862,West
E025,2023-03-14,2301.38,859,South
E026,2023-09-10,1812.44,886,West
E027,2023-05-12,7600.4,897,North
E028,2024-01-01,8740.41,832,West
E029,2023-02-06,6388.12,594,South
E030,2023-02-06,2694.11,257,North
E031,2023-11-14,6658.26,125,North
E032,2023-10-01,9066.76,460,East
E033,2023-12-30,6851.27,822,North
